"","preculture","addition","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","galactose","galactose",0.99310538328081,0.993099243818014,0.0263079790772046,161757.700369356,0,1,2497.31341378914,-4988.62682757828,-4973.55021263437,0.777239263991213,1123,1125
"2","galactose","glucose",0.979307504405847,0.979289078318942,0.0491840393735737,53147.8826439153,0,1,1793.40441506484,-3580.80883012968,-3565.73221518576,2.7166153057807,1123,1125
"3","galactose","lactose",0.994194044962397,0.994188874922292,0.0244656577550801,192299.09726509,0,1,2578.99051776798,-5151.98103553597,-5136.90442059205,0.672192323743524,1123,1125
"4","glucose","galactose",0.974708659581451,0.974685263336846,0.0347799228310175,41660.9022523293,0,1,2101.77882594501,-4197.55765189002,-4182.59518114902,1.30762411773419,1081,1083
"5","glucose","glucose",0.991440108954075,0.991432500162034,0.0317421129369852,130301.906483295,0,1,2290.13225386104,-4574.26450772209,-4559.18256417997,1.13350695041736,1125,1127
"6","glucose","lactose",0.974697378712436,0.97467332679106,0.0240020286006011,40524.7199786942,0,1,2436.45597721977,-4866.91195443954,-4852.03091125223,0.606054440545164,1052,1054
"7","lactose","galactose",0.997259623413961,0.997257189686975,0.0166894911753225,409766.431987827,0,1,3017.31518234875,-6028.63036469751,-6013.54576040133,0.313635044268256,1126,1128
"8","lactose","glucose",0.980515185826791,0.980497881373707,0.049068963932018,56662.5932085635,0,1,1800.82641883169,-3595.65283766338,-3580.5682333672,2.71114138725326,1126,1128
"9","lactose","lactose",0.996097190676717,0.996093724593836,0.0206896536545559,287384.123536528,0,1,2774.95930470564,-5543.91860941129,-5528.83400511512,0.481997551157009,1126,1128
