"","preculture","addition","term","estimate","std.error","statistic","p.value"
"1","galactose","galactose","(Intercept)",-1.98907189687345,0.0053849084084836,-369.378965432315,0
"2","galactose","galactose","lacY",-131.782016284715,0.327660180351621,-402.191124180229,0
"3","galactose","glucose","(Intercept)",-0.834197014047882,0.0146485484006259,-56.947418353906,0
"4","galactose","glucose","lacY",-240.400724592713,1.04278022962498,-230.538245512355,0
"5","galactose","lactose","(Intercept)",-1.85002972059412,0.00527056479897395,-351.011664054349,0
"6","galactose","lactose","lacY",-143.401334294531,0.327012662447948,-438.51920968766,0
"7","glucose","galactose","(Intercept)",-3.09378305565512,0.00567554374011254,-545.107781266746,0
"8","glucose","galactose","lacY",-78.4458243974627,0.384331070693477,-204.110024869749,0
"9","glucose","glucose","(Intercept)",-1.09253999671855,0.00863392562003634,-126.5403531139,0
"10","glucose","glucose","lacY",-220.852379438059,0.611824265694052,-360.973553717299,0
"11","glucose","lactose","(Intercept)",-3.67988511925244,0.00291075371114717,-1264.23788627659,0
"12","glucose","lactose","lacY",-37.5089124582043,0.186326429143454,-201.307525886873,0
"13","lactose","galactose","(Intercept)",-2.04890623327813,0.0031981846512152,-640.646634489857,0
"14","lactose","galactose","lacY",-109.125735630395,0.170474331184853,-640.130011784971,0
"15","lactose","glucose","(Intercept)",-0.754338458136045,0.0145553266563856,-51.8255945705696,1.93146156623669e-300
"16","lactose","glucose","lacY",-253.317590718526,1.06418498157053,-238.039058157612,0
"17","lactose","lactose","(Intercept)",-1.68142594442759,0.00456680752063663,-368.184106036769,0
"18","lactose","lactose","lacY",-142.777010162801,0.266334175179291,-536.082198488745,0
