"","manganese","strain","term","estimate","std.error","statistic","p.value"
"1","0","MG1363","(Intercept)",-1.645033102397,0.0161908955535933,-101.602354048409,6.38250102511529e-244
"2","0","MG1363","lacY",-206.428033886218,1.55166658555016,-133.036333841672,3.5662768112037e-280
"3","0","NCDO712","(Intercept)",-2.50587678156759,0.015117870008455,-165.755941820251,5.12941669185232e-310
"4","0","NCDO712","lacY",-101.048466652111,1.22909820007545,-82.2135014483854,7.70721881403656e-216
"5","0.25","MG1363","(Intercept)",-1.87550485286921,0.0184838857625024,-101.467022517201,9.61680273431416e-244
"6","0.25","MG1363","lacY",-191.143423725391,1.82212911142167,-104.90114148731,3.41061364946822e-248
"7","0.25","NCDO712","(Intercept)",-2.60734544940109,0.0131191477791497,-198.743507832494,0
"8","0.25","NCDO712","lacY",-99.1326864410744,1.11513305626669,-88.8976305419166,1.17797531856776e-225
"9","0.5","MG1363","(Intercept)",-1.5123242374663,0.0232873974959398,-64.9417453251263,3.35539410666558e-185
"10","0.5","MG1363","lacY",-230.960920126696,2.33467646077662,-98.9263069238586,2.33150405755426e-240
"11","0.5","NCDO712","(Intercept)",-2.44310136529807,0.018603433563381,-131.325293095736,2.00767448625074e-278
"12","0.5","NCDO712","lacY",-108.919561034837,1.54441715553427,-70.5247028916597,8.03563405223959e-196
"13","0.75","MG1363","(Intercept)",-1.371404262412,0.0475951931229809,-28.8139236848654,1.15044589904781e-90
"14","0.75","MG1363","lacY",-270.455758871398,5.20265868891787,-51.9841440776219,1.70278923957934e-157
"15","0.75","NCDO712","(Intercept)",-2.26742779340278,0.0221978180490959,-102.146426661747,3.44091506556863e-245
"16","0.75","NCDO712","lacY",-132.358687644449,1.95390078937221,-67.7407411698601,5.1725090450018e-191
"17","1","MG1363","(Intercept)",-0.933336302172722,0.0625570059654,-14.9197725781337,1.6825325118898e-38
"18","1","MG1363","lacY",-328.50535772184,7.0293924622533,-46.733108086632,3.14507731545335e-144
"19","1","NCDO712","(Intercept)",-2.29964793726939,0.0217663804115622,-105.651371233401,3.7926052367065e-249
"20","1","NCDO712","lacY",-127.792383073813,1.8920428304693,-67.5420138571154,3.04857699051414e-190
"21","1.5","NCDO712","(Intercept)",-2.22922885413814,0.0248307601370937,-89.7769074257207,1.85623508763355e-227
"22","1.5","NCDO712","lacY",-146.52012208656,2.31836673192221,-63.1997173135231,1.00359613113493e-181
"23","2","NCDO712","(Intercept)",-2.1049550600675,0.0266992271698864,-78.8395501740081,2.44210639998592e-210
"24","2","NCDO712","lacY",-166.258345082375,2.59933927077987,-63.9617717284335,2.958554277274e-183
